Hobby-name,Type
Air sports,Outdoors and sports
Airsoft,Outdoors and sports
Amateur geology,Outdoors and sports
Amusement park visiting,Outdoors and sports
Archery,Outdoors and sports
Auto detailing,Outdoors and sports
Automobilism,Outdoors and sports
Astronomy,Outdoors and sports
Backpacking,Outdoors and sports
Badminton,Outdoors and sports
BASE jumping,Outdoors and sports
Baseball,Outdoors and sports
Basketball,Outdoors and sports
Beachcombing,Outdoors and sports
Beekeeping,Outdoors and sports
Birdwatching,Outdoors and sports
Blacksmithing,Outdoors and sports
BMX,Outdoors and sports
Board sports,Outdoors and sports
Bodybuilding,Outdoors and sports
Bus riding,Outdoors and sports
Camping,Outdoors and sports
Canoeing,Outdoors and sports
Canyoning,Outdoors and sports
Carrier pigeons,Outdoors and sports
Car riding,Outdoors and sports
Car tuning,Outdoors and sports
Caving,Outdoors and sports
City trip,Outdoors and sports
Climbing,Outdoors and sports
Composting,Outdoors and sports
Croquet,Outdoors and sports
Cycling,Outdoors and sports
Dairy Farming,Outdoors and sports
Dandyism,Outdoors and sports
Darts,Outdoors and sports
Dodgeball,Outdoors and sports
Dog training,Outdoors and sports
Dog walking,Outdoors and sports
Dowsing,Outdoors and sports
Driving,Outdoors and sports
Farming,Outdoors and sports
Fishing,Outdoors and sports
Flag football,Outdoors and sports
Flower growing,Outdoors and sports
Flying,Outdoors and sports
Flying disc,Outdoors and sports
Flying model planes,Outdoors and sports
Foraging,Outdoors and sports
Fossicking,Outdoors and sports
Freestyle football,Outdoors and sports
Fruit picking,Outdoors and sports
Gardening,Outdoors and sports
Geocaching,Outdoors and sports
Ghost hunting,Outdoors and sports
Gold prospecting,Outdoors and sports
Graffiti,Outdoors and sports
Groundhopping,Outdoors and sports
Guerrilla gardening,Outdoors and sports
Gymnastics,Outdoors and sports
Handball,Outdoors and sports
Herbalism,Outdoors and sports
Herping,Outdoors and sports
High-power rocketry,Outdoors and sports
Hiking,Outdoors and sports
Hobby horsing,Outdoors and sports
Hobby tunneling,Outdoors and sports
Hooping,Outdoors and sports
Horseback riding,Outdoors and sports
Hunting,Outdoors and sports
Inline skating,Outdoors and sports
Jogging,Outdoors and sports
Jumping rope,Outdoors and sports
Karting,Outdoors and sports
Kayaking,Outdoors and sports
Kite flying,Outdoors and sports
Kitesurfing,Outdoors and sports
Lacrosse,Outdoors and sports
LARPing,Outdoors and sports
Letterboxing,Outdoors and sports
Lomography,Outdoors and sports
Longboarding,Outdoors and sports
Martial arts,Outdoors and sports
Magnet fishing,Outdoors and sports
Metal detecting,Outdoors and sports
Motorcycling,Outdoors and sports
Meteorology,Outdoors and sports
Motor sports,Outdoors and sports
Mountain biking,Outdoors and sports
Mountaineering,Outdoors and sports
Museum visiting,Outdoors and sports
Mushroom hunting/mycology,Outdoors and sports
Netball,Outdoors and sports
Noodling,Outdoors and sports
Nordic skating,Outdoors and sports
Orienteering,Outdoors and sports
Paintball,Outdoors and sports
Paragliding,Outdoors and sports
Parkour,Outdoors and sports
Photography,Outdoors and sports
Pickleball,Outdoors and sports
Picnicking,Outdoors and sports
Podcast hosting,Outdoors and sports
Polo,Outdoors and sports
Powerlifting,Outdoors and sports
Public transport riding,Outdoors and sports
Qigong,Outdoors and sports
Radio-controlled model playing,Outdoors and sports
Rafting,Outdoors and sports
Railway journeys,Outdoors and sports
Railway modelling,Outdoors and sports
Rappelling,Outdoors and sports
Renaissance fair,Outdoors and sports
Renovating,Outdoors and sports
Road biking,Outdoors and sports
Rock climbing,Outdoors and sports
Rock painting,Outdoors and sports
Roller skating,Outdoors and sports
Roundnet,Outdoors and sports
Rugby,Outdoors and sports
Running,Outdoors and sports
Safari,Outdoors and sports
Sailing,Outdoors and sports
Sand art,Outdoors and sports
Scouting,Outdoors and sports
Scuba diving,Outdoors and sports
Sculling or rowing,Outdoors and sports
Shooting,Outdoors and sports
Shopping,Outdoors and sports
Shuffleboard,Outdoors and sports
Skateboarding,Outdoors and sports
Skiing,Outdoors and sports
Skimboarding,Outdoors and sports
Skydiving,Outdoors and sports
Slacklining,Outdoors and sports
Sledding,Outdoors and sports
Snorkeling,Outdoors and sports
Snowboarding,Outdoors and sports
Snowmobiling,Outdoors and sports
Snowshoeing,Outdoors and sports
Soccer,Outdoors and sports
Stone skipping,Outdoors and sports
Storm chasing,Outdoors and sports
Sun bathing,Outdoors and sports
Surfing,Outdoors and sports
Survivalism,Outdoors and sports
Swimming,Outdoors and sports
Table tennis playing,Outdoors and sports
Taekwondo,Outdoors and sports
Tai chi,Outdoors and sports
Tennis,Outdoors and sports
Thru-hiking,Outdoors and sports
Topiary,Outdoors and sports
Tourism,Outdoors and sports
Trade fair visiting,Outdoors and sports
Travel,Outdoors and sports
Unicycling,Outdoors and sports
Urban exploration,Outdoors and sports
Vacation,Outdoors and sports
Vegetable farming,Outdoors and sports
Vehicle restoration,Outdoors and sports
Videography,Outdoors and sports
Volleyball,Outdoors and sports
Volunteering,Outdoors and sports
Walking,Outdoors and sports
Water sports,Outdoors and sports
Zoo visiting,Outdoors and sports
Archaeology,Educational hobby
Architecture,Educational hobby
Astronomy,Educational hobby
Animation,Educational hobby
Aerospace,Educational hobby
Biology,Educational hobby
Botany,Educational hobby
Business,Educational hobby
Chemistry,Educational hobby
Entrepreneurship,Educational hobby
Finance,Educational hobby
Geography,Educational hobby
History,Educational hobby
Linguistics,Educational hobby
Literature,Educational hobby
Mathematics,Educational hobby
Medical science,Educational hobby
Microbiology,Educational hobby
Mycology,Educational hobby
Myrmecology,Educational hobby
Neuroscience,Educational hobby
Philosophy,Educational hobby
Physics,Educational hobby
Psychology,Educational hobby
Railway studies,Educational hobby
Religious studies,Educational hobby
Research,Educational hobby
Science and technology studies,Educational hobby
Social studies,Educational hobby
Sociology,Educational hobby
Sports science,Educational hobby
Story writing,Educational hobby
Life science,Educational hobby
Teaching,Educational hobby
Web design,Educational hobby
engineering,Educational hobby
jurisprudential,Educational hobby
publishing,Educational hobby
Wikipedia editing,Educational hobby
Action figure,Indoor Collection hobby
Antiquing,Indoor Collection hobby
Ant-keeping,Indoor Collection hobby
Art collecting,Indoor Collection hobby
Book collecting,Indoor Collection hobby
Button collecting,Indoor Collection hobby
Cartophily (card collecting),Indoor Collection hobby
Coin collecting,Indoor Collection hobby
Comic book collecting,Indoor Collection hobby
Compact discs,Indoor Collection hobby
Crystals,Indoor Collection hobby
Deltiology (postcard collecting),Indoor Collection hobby
Die-cast toy,Indoor Collection hobby
Digital hoarding,Indoor Collection hobby
Dolls,Indoor Collection hobby
Element collecting,Indoor Collection hobby
Ephemera collecting,Indoor Collection hobby
Films,Indoor Collection hobby
Fingerprint collecting,Indoor Collection hobby
Fusilately (phonecard collecting),Indoor Collection hobby
Knife collecting,Indoor Collection hobby
Lapel pins,Indoor Collection hobby
Lotology (lottery ticket collecting),Indoor Collection hobby
Movie memorabilia collecting,Indoor Collection hobby
Notaphily (banknote collecting),Indoor Collection hobby
Perfume,Indoor Collection hobby
Philately,Indoor Collection hobby
Phillumeny,Indoor Collection hobby
Radio-controlled model collecting,Indoor Collection hobby
Rail transport modelling,Indoor Collection hobby
Record collecting,Indoor Collection hobby
Rock tumbling,Indoor Collection hobby
Scutelliphily,Indoor Collection hobby
Shoes,Indoor Collection hobby
Slot car,Indoor Collection hobby
Sports memorabilia,Indoor Collection hobby
Stamp collecting,Indoor Collection hobby
Stuffed toy collecting,Indoor Collection hobby
Tea bag collecting,Indoor Collection hobby
Ticket collecting,Indoor Collection hobby
Transit map collecting,Indoor Collection hobby
Video game collecting,Indoor Collection hobby
Vintage cars,Indoor Collection hobby
Vintage clothing,Indoor Collection hobby
Vinyl records,Indoor Collection hobby
Antiquities,Outdoor Collection hobby
Auto audiophilia,Outdoor Collection hobby
Flower collecting and pressing,Outdoor Collection hobby
Fossil hunting,Outdoor Collection hobby
Insect collecting,Outdoor Collection hobby
Leaves,Outdoor Collection hobby
Magnet fishing,Outdoor Collection hobby
Metal detecting,Outdoor Collection hobby
Mineral collecting,Outdoor Collection hobby
Rock balancing,Outdoor Collection hobby
Sea glass collecting,Outdoor Collection hobby
Seashell collecting,Outdoor Collection hobby
Stone collecting,Outdoor Collection hobby
Air hockey,Indoor Competitive hobby
Animal fancy,Indoor Competitive hobby
Axe throwing,Indoor Competitive hobby
Backgammon,Indoor Competitive hobby
Badminton,Indoor Competitive hobby
Baking,Indoor Competitive hobby
Ballet dancing,Indoor Competitive hobby
Ballroom dancing,Indoor Competitive hobby
Baton twirling,Indoor Competitive hobby
Beauty pageants,Indoor Competitive hobby
Billiards,Indoor Competitive hobby
Book folding,Indoor Competitive hobby
Bowling,Indoor Competitive hobby
Boxing,Indoor Competitive hobby
Bridge,Indoor Competitive hobby
Cooking,Indoor Competitive hobby
Checkers (draughts),Indoor Competitive hobby
Cheerleading,Indoor Competitive hobby
Chess,Indoor Competitive hobby
Color guard,Indoor Competitive hobby
Cribbage,Indoor Competitive hobby
Curling,Indoor Competitive hobby
Dancing,Indoor Competitive hobby
Darts,Indoor Competitive hobby
Debate,Indoor Competitive hobby
Dominoes,Indoor Competitive hobby
Eating,Indoor Competitive hobby
Esports,Indoor Competitive hobby
Fencing,Indoor Competitive hobby
Figure Skating,Indoor Competitive hobby
Go,Indoor Competitive hobby
Gymnastics,Indoor Competitive hobby
Ice hockey,Indoor Competitive hobby
Ice skating,Indoor Competitive hobby
Judo,Indoor Competitive hobby
Jujitsu,Indoor Competitive hobby
Kabaddi,Indoor Competitive hobby
Knowledge/word games,Indoor Competitive hobby
Laser tag,Indoor Competitive hobby
Magic,Indoor Competitive hobby
Mahjong,Indoor Competitive hobby
Marbles,Indoor Competitive hobby
Martial arts,Indoor Competitive hobby
Model racing,Indoor Competitive hobby
Model United Nations,Indoor Competitive hobby
Pinball,Indoor Competitive hobby
Poker,Indoor Competitive hobby
Pole dancing,Indoor Competitive hobby
Pool,Indoor Competitive hobby
Radio-controlled model playing,Indoor Competitive hobby
Role-playing games,Indoor Competitive hobby
Rughooking,Indoor Competitive hobby
Shogi,Indoor Competitive hobby
Slot car racing,Indoor Competitive hobby
Speedcubing,Indoor Competitive hobby
Sport stacking,Indoor Competitive hobby
Table football,Indoor Competitive hobby
Table tennis,Indoor Competitive hobby
Volleyball,Indoor Competitive hobby
Video gaming,Indoor Competitive hobby
VR gaming,Indoor Competitive hobby
Weightlifting,Indoor Competitive hobby
Wrestling,Indoor Competitive hobby
Airsoft,Outdoor Competitive hobby
Archery,Outdoor Competitive hobby
Association football,Outdoor Competitive hobby
Australian rules football,Outdoor Competitive hobby
Auto racing,Outdoor Competitive hobby
Baseball,Outdoor Competitive hobby
Beach volleyball,Outdoor Competitive hobby
Breakdancing,Outdoor Competitive hobby
capoeira,Outdoor Competitive hobby
Climbing,Outdoor Competitive hobby
Cornhole,Outdoor Competitive hobby
Cricket,Outdoor Competitive hobby
Croquet,Outdoor Competitive hobby
Cycling,Outdoor Competitive hobby
Disc golf,Outdoor Competitive hobby
Dog sport,Outdoor Competitive hobby
Equestrianism,Outdoor Competitive hobby
Exhibition drill,Outdoor Competitive hobby
Field hockey,Outdoor Competitive hobby
Figure skating,Outdoor Competitive hobby
Fishing,Outdoor Competitive hobby
Fitness,Outdoor Competitive hobby
Footbag,Outdoor Competitive hobby
Frisbee,Outdoor Competitive hobby
Rugby league football,Outdoor Competitive hobby
Sculling or rowing,Outdoor Competitive hobby
Shooting sports,Outdoor Competitive hobby
Skateboarding,Outdoor Competitive hobby
Skiing,Outdoor Competitive hobby
Sled dog racing,Outdoor Competitive hobby
Softball,Outdoor Competitive hobby
Speed skating,Outdoor Competitive hobby
Squash,Outdoor Competitive hobby
Surfing,Outdoor Competitive hobby
Swimming,Outdoor Competitive hobby
Table tennis,Outdoor Competitive hobby
Tennis,Outdoor Competitive hobby
Tennis polo,Outdoor Competitive hobby
Tether car,Outdoor Competitive hobby
Tour skating,Outdoor Competitive hobby
Tourism,Outdoor Competitive hobby
Trapshooting,Outdoor Competitive hobby
Triathlon,Outdoor Competitive hobby
Ultimate frisbee,Outdoor Competitive hobby
Volleyball,Outdoor Competitive hobby
Water polo,Outdoor Competitive hobby
Golfing,Outdoor Competitive hobby
Handball,Outdoor Competitive hobby
Horseback riding,Outdoor Competitive hobby
Horsemanship,Outdoor Competitive hobby
Horseshoes,Outdoor Competitive hobby
Iceboat racing,Outdoor Competitive hobby
Jukskei,Outdoor Competitive hobby
Kart racing,Outdoor Competitive hobby
Knife throwing,Outdoor Competitive hobby
Lacrosse,Outdoor Competitive hobby
Longboarding,Outdoor Competitive hobby
Long-distance running,Outdoor Competitive hobby
Marching band,Outdoor Competitive hobby
Mini Golf,Outdoor Competitive hobby
Model aircraft,Outdoor Competitive hobby
Orienteering,Outdoor Competitive hobby
Pickleball,Outdoor Competitive hobby
Powerboat racing,Outdoor Competitive hobby
Quidditch,Outdoor Competitive hobby
Race walking,Outdoor Competitive hobby
Racquetball,Outdoor Competitive hobby
Radio-controlled car racing,Outdoor Competitive hobby
Radio-controlled model playing,Outdoor Competitive hobby
Roller derby,Outdoor Competitive hobby
Audiophile,Indoor Observation hobby
Ant farming,Indoor Observation hobby
Fishkeeping,Indoor Observation hobby
Learning,Indoor Observation hobby
Meditation,Indoor Observation hobby
Microscopy,Indoor Observation hobby
Reading,Indoor Observation hobby
Research,Indoor Observation hobby
Shortwave listening,Indoor Observation hobby
Aircraft spotting,Outdoor Observation hobby
Amateur astronomy,Outdoor Observation hobby
Beekeeping,Outdoor Observation hobby
Benchmarking,Outdoor Observation hobby
Birdwatching,Outdoor Observation hobby
Bus spotting,Outdoor Observation hobby
Photography,Outdoor Observation hobby
Satellite watching,Outdoor Observation hobby
Trainspotting,Outdoor Observation hobby
Whale watching,Outdoor Observation hobby
Butterfly watching,Outdoor Observation hobby
Geocaching,Outdoor Observation hobby
Gongoozling,Outdoor Observation hobby
Herping,Outdoor Observation hobby
Hiking/backpacking,Outdoor Observation hobby
Meteorology,Outdoor Observation hobby
